waveform	[0]
t0	12/31/1903  18:00:00.000000
delta t	1.000000

time	Y[0]
12/31/1903  18:04:07.000000	2.755211E+0
12/31/1903  18:04:08.000000	2.772401E+0
12/31/1903  18:04:09.000000	2.792835E+0
12/31/1903  18:04:10.000000	2.790889E+0
12/31/1903  18:04:11.000000	2.769158E+0
12/31/1903  18:04:12.000000	2.737696E+0
12/31/1903  18:04:13.000000	2.686450E+0
12/31/1903  18:04:14.000000	2.661799E+0
12/31/1903  18:04:15.000000	2.709478E+0
12/31/1903  18:04:16.000000	2.787321E+0
12/31/1903  18:04:17.000000	2.787646E+0
12/31/1903  18:04:18.000000	2.799971E+0
12/31/1903  18:04:19.000000	2.786673E+0
12/31/1903  18:04:20.000000	2.768834E+0
12/31/1903  18:04:21.000000	2.715641E+0
12/31/1903  18:04:22.000000	2.745805E+0
12/31/1903  18:04:23.000000	2.693910E+0
12/31/1903  18:04:24.000000	2.649150E+0
12/31/1903  18:04:25.000000	2.689693E+0
12/31/1903  18:04:26.000000	2.738994E+0
12/31/1903  18:04:27.000000	2.698775E+0
12/31/1903  18:04:28.000000	2.731209E+0
12/31/1903  18:04:29.000000	2.773375E+0
12/31/1903  18:04:30.000000	2.735426E+0
12/31/1903  18:04:31.000000	2.713046E+0
12/31/1903  18:04:32.000000	2.751643E+0
12/31/1903  18:04:33.000000	2.743210E+0
12/31/1903  18:04:34.000000	2.782456E+0
12/31/1903  18:04:35.000000	2.730885E+0
12/31/1903  18:04:36.000000	2.638771E+0
12/31/1903  18:04:37.000000	2.659853E+0
12/31/1903  18:04:38.000000	2.648825E+0
12/31/1903  18:04:39.000000	2.646879E+0
12/31/1903  18:04:40.000000	2.707208E+0
12/31/1903  18:04:41.000000	2.759428E+0
12/31/1903  18:04:42.000000	2.736075E+0
12/31/1903  18:04:43.000000	2.720830E+0
12/31/1903  18:04:44.000000	2.703316E+0
12/31/1903  18:04:45.000000	2.678990E+0
12/31/1903  18:04:46.000000	2.678017E+0
12/31/1903  18:04:47.000000	2.717263E+0
12/31/1903  18:04:48.000000	2.780835E+0
12/31/1903  18:04:49.000000	2.801268E+0
12/31/1903  18:04:50.000000	2.775321E+0
12/31/1903  18:04:51.000000	2.748075E+0
12/31/1903  18:04:52.000000	2.745156E+0
12/31/1903  18:04:53.000000	2.754562E+0
12/31/1903  18:04:54.000000	2.763644E+0
12/31/1903  18:04:55.000000	2.768509E+0
12/31/1903  18:04:56.000000	2.768185E+0
12/31/1903  18:04:57.000000	2.773699E+0
12/31/1903  18:04:58.000000	2.779861E+0
12/31/1903  18:04:59.000000	2.790565E+0
12/31/1903  18:05:00.000000	2.787321E+0
12/31/1903  18:05:01.000000	2.781808E+0
12/31/1903  18:05:02.000000	2.767861E+0
12/31/1903  18:05:03.000000	2.743210E+0
12/31/1903  18:05:04.000000	2.712722E+0
12/31/1903  18:05:05.000000	2.699748E+0
12/31/1903  18:05:06.000000	2.658556E+0
12/31/1903  18:05:07.000000	2.690342E+0
12/31/1903  18:05:08.000000	2.753589E+0
12/31/1903  18:05:09.000000	2.791862E+0
12/31/1903  18:05:10.000000	2.809377E+0
12/31/1903  18:05:11.000000	2.820081E+0
12/31/1903  18:05:12.000000	2.823973E+0
12/31/1903  18:05:13.000000	2.835974E+0
12/31/1903  18:05:14.000000	2.821378E+0
12/31/1903  18:05:15.000000	2.801917E+0
12/31/1903  18:05:16.000000	2.800620E+0
12/31/1903  18:05:17.000000	2.819432E+0
12/31/1903  18:05:18.000000	2.789268E+0
12/31/1903  18:05:19.000000	2.779861E+0
12/31/1903  18:05:20.000000	2.769807E+0
12/31/1903  18:05:21.000000	2.771753E+0
12/31/1903  18:05:22.000000	2.769482E+0
12/31/1903  18:05:23.000000	2.768509E+0
12/31/1903  18:05:24.000000	2.750995E+0
12/31/1903  18:05:25.000000	2.728939E+0
12/31/1903  18:05:26.000000	2.687098E+0
12/31/1903  18:05:27.000000	2.679314E+0
12/31/1903  18:05:28.000000	2.585578E+0
12/31/1903  18:05:29.000000	2.483733E+0
12/31/1903  18:05:30.000000	2.504167E+0
12/31/1903  18:05:31.000000	2.578766E+0
12/31/1903  18:05:32.000000	2.578442E+0
12/31/1903  18:05:33.000000	2.667962E+0
12/31/1903  18:05:34.000000	2.711424E+0
12/31/1903  18:05:35.000000	2.723425E+0
12/31/1903  18:05:36.000000	2.700396E+0
12/31/1903  18:05:37.000000	2.721479E+0
12/31/1903  18:05:38.000000	2.744183E+0
12/31/1903  18:05:39.000000	2.778240E+0
12/31/1903  18:05:40.000000	2.679638E+0
12/31/1903  18:05:41.000000	2.738994E+0
12/31/1903  18:05:42.000000	2.730885E+0
12/31/1903  18:05:43.000000	2.640392E+0
12/31/1903  18:05:44.000000	2.640717E+0
12/31/1903  18:05:45.000000	2.634230E+0
12/31/1903  18:05:46.000000	2.625797E+0
12/31/1903  18:05:47.000000	2.460055E+0
12/31/1903  18:05:48.000000	2.428918E+0
12/31/1903  18:05:49.000000	2.411728E+0
12/31/1903  18:05:50.000000	2.417566E+0
12/31/1903  18:05:51.000000	2.313451E+0
12/31/1903  18:05:52.000000	2.341345E+0
12/31/1903  18:05:53.000000	2.437351E+0
12/31/1903  18:05:54.000000	2.693261E+0
12/31/1903  18:05:55.000000	2.756184E+0
12/31/1903  18:05:56.000000	2.719209E+0
12/31/1903  18:05:57.000000	2.474651E+0
12/31/1903  18:05:58.000000	2.347832E+0
12/31/1903  18:05:59.000000	2.441568E+0
12/31/1903  18:06:00.000000	2.442541E+0
12/31/1903  18:06:01.000000	2.429891E+0
12/31/1903  18:06:02.000000	2.617364E+0
12/31/1903  18:06:03.000000	2.598552E+0
12/31/1903  18:06:04.000000	2.726669E+0
12/31/1903  18:06:05.000000	2.731534E+0
12/31/1903  18:06:06.000000	2.750346E+0
12/31/1903  18:06:07.000000	2.772077E+0
12/31/1903  18:06:08.000000	2.785051E+0
12/31/1903  18:06:09.000000	2.753265E+0
12/31/1903  18:06:10.000000	2.772077E+0
12/31/1903  18:06:11.000000	2.707532E+0
12/31/1903  18:06:12.000000	2.680936E+0
12/31/1903  18:06:13.000000	2.606336E+0
12/31/1903  18:06:14.000000	2.737372E+0
12/31/1903  18:06:15.000000	2.642663E+0
12/31/1903  18:06:16.000000	2.761374E+0
12/31/1903  18:06:17.000000	2.748724E+0
12/31/1903  18:06:18.000000	2.768509E+0
12/31/1903  18:06:19.000000	2.730885E+0
12/31/1903  18:06:20.000000	2.678665E+0
12/31/1903  18:06:21.000000	2.634230E+0
12/31/1903  18:06:22.000000	2.629689E+0
12/31/1903  18:06:23.000000	2.637798E+0
12/31/1903  18:06:24.000000	2.787970E+0
12/31/1903  18:06:25.000000	2.736399E+0
12/31/1903  18:06:26.000000	2.679314E+0
12/31/1903  18:06:27.000000	2.772401E+0
12/31/1903  18:06:28.000000	2.736075E+0
12/31/1903  18:06:29.000000	2.618661E+0
12/31/1903  18:06:30.000000	2.678990E+0
12/31/1903  18:06:31.000000	2.701694E+0
12/31/1903  18:06:32.000000	2.747427E+0
12/31/1903  18:06:33.000000	2.689369E+0
12/31/1903  18:06:34.000000	2.711749E+0
12/31/1903  18:06:35.000000	2.616391E+0
12/31/1903  18:06:36.000000	2.580064E+0
12/31/1903  18:06:37.000000	2.598552E+0
12/31/1903  18:06:38.000000	2.487625E+0
12/31/1903  18:06:39.000000	2.588497E+0
12/31/1903  18:06:40.000000	2.662772E+0
12/31/1903  18:06:41.000000	2.689044E+0
12/31/1903  18:06:42.000000	2.697153E+0
12/31/1903  18:06:43.000000	2.654015E+0
12/31/1903  18:06:44.000000	2.593686E+0
12/31/1903  18:06:45.000000	2.556062E+0
12/31/1903  18:06:46.000000	2.527195E+0
12/31/1903  18:06:47.000000	2.519411E+0
12/31/1903  18:06:48.000000	2.525898E+0
12/31/1903  18:06:49.000000	2.529790E+0
12/31/1903  18:06:50.000000	2.550873E+0
12/31/1903  18:06:51.000000	2.391943E+0
12/31/1903  18:06:52.000000	2.352372E+0
12/31/1903  18:06:53.000000	2.386753E+0
12/31/1903  18:06:54.000000	2.538872E+0
12/31/1903  18:06:55.000000	2.668286E+0
12/31/1903  18:06:56.000000	2.600498E+0
12/31/1903  18:06:57.000000	2.573252E+0
12/31/1903  18:06:58.000000	2.714992E+0
12/31/1903  18:06:59.000000	2.658880E+0
12/31/1903  18:07:00.000000	2.616066E+0
12/31/1903  18:07:01.000000	2.649150E+0
12/31/1903  18:07:02.000000	2.701370E+0
12/31/1903  18:07:03.000000	2.683206E+0
12/31/1903  18:07:04.000000	2.632284E+0
12/31/1903  18:07:05.000000	2.630013E+0
12/31/1903  18:07:06.000000	2.659529E+0
12/31/1903  18:07:07.000000	2.704937E+0
12/31/1903  18:07:08.000000	2.568063E+0
12/31/1903  18:07:09.000000	2.598552E+0
12/31/1903  18:07:10.000000	2.609904E+0
12/31/1903  18:07:11.000000	2.611525E+0
12/31/1903  18:07:12.000000	2.564171E+0
12/31/1903  18:07:13.000000	2.591416E+0
12/31/1903  18:07:14.000000	2.458434E+0
12/31/1903  18:07:15.000000	2.377347E+0
12/31/1903  18:07:16.000000	2.429891E+0
12/31/1903  18:07:17.000000	2.477570E+0
12/31/1903  18:07:18.000000	2.374428E+0
12/31/1903  18:07:19.000000	2.473354E+0
12/31/1903  18:07:20.000000	2.436378E+0
12/31/1903  18:07:21.000000	2.387402E+0
12/31/1903  18:07:22.000000	2.372806E+0
12/31/1903  18:07:23.000000	2.401349E+0
12/31/1903  18:07:24.000000	2.520384E+0
12/31/1903  18:07:25.000000	2.544710E+0
12/31/1903  18:07:26.000000	2.473029E+0
12/31/1903  18:07:27.000000	2.498004E+0
12/31/1903  18:07:28.000000	2.501896E+0
12/31/1903  18:07:29.000000	2.552819E+0
12/31/1903  18:07:30.000000	2.470110E+0
12/31/1903  18:07:31.000000	2.417242E+0
12/31/1903  18:07:32.000000	2.402970E+0
12/31/1903  18:07:33.000000	2.353670E+0
12/31/1903  18:07:34.000000	2.397457E+0
12/31/1903  18:07:35.000000	2.566441E+0
12/31/1903  18:07:36.000000	2.589145E+0
12/31/1903  18:07:37.000000	2.582983E+0
12/31/1903  18:07:38.000000	2.542764E+0
12/31/1903  18:07:39.000000	2.575199E+0
12/31/1903  18:07:40.000000	2.660177E+0
12/31/1903  18:07:41.000000	2.750346E+0
12/31/1903  18:07:42.000000	2.750670E+0
12/31/1903  18:07:43.000000	2.701370E+0
12/31/1903  18:07:44.000000	2.684828E+0
12/31/1903  18:07:45.000000	2.663745E+0
12/31/1903  18:07:46.000000	2.590767E+0
12/31/1903  18:07:47.000000	2.596930E+0
12/31/1903  18:07:48.000000	2.641041E+0
12/31/1903  18:07:49.000000	2.528168E+0
12/31/1903  18:07:50.000000	2.484706E+0
12/31/1903  18:07:51.000000	2.564819E+0
12/31/1903  18:07:52.000000	2.485679E+0
12/31/1903  18:07:53.000000	2.562225E+0
12/31/1903  18:07:54.000000	2.646879E+0
12/31/1903  18:07:55.000000	2.533033E+0
12/31/1903  18:07:56.000000	2.452920E+0
12/31/1903  18:07:57.000000	2.434432E+0
12/31/1903  18:07:58.000000	2.494436E+0
12/31/1903  18:07:59.000000	2.516816E+0
12/31/1903  18:08:00.000000	2.453244E+0
12/31/1903  18:08:01.000000	2.536601E+0
12/31/1903  18:08:02.000000	2.549251E+0
12/31/1903  18:08:03.000000	2.402322E+0
12/31/1903  18:08:04.000000	2.481138E+0
12/31/1903  18:08:05.000000	2.432486E+0
12/31/1903  18:08:06.000000	2.425999E+0
12/31/1903  18:08:07.000000	2.443838E+0
12/31/1903  18:08:08.000000	2.525249E+0
12/31/1903  18:08:09.000000	2.587848E+0
12/31/1903  18:08:10.000000	2.588821E+0
12/31/1903  18:08:11.000000	2.534007E+0
12/31/1903  18:08:12.000000	2.545683E+0
12/31/1903  18:08:13.000000	2.644284E+0
12/31/1903  18:08:14.000000	2.720182E+0
12/31/1903  18:08:15.000000	2.672827E+0
12/31/1903  18:08:16.000000	2.725371E+0
12/31/1903  18:08:17.000000	2.726669E+0
12/31/1903  18:08:18.000000	2.739318E+0
12/31/1903  18:08:19.000000	2.771753E+0
12/31/1903  18:08:20.000000	2.783105E+0
12/31/1903  18:08:21.000000	2.749049E+0
12/31/1903  18:08:22.000000	2.662448E+0
12/31/1903  18:08:23.000000	2.707856E+0
12/31/1903  18:08:24.000000	2.704937E+0
12/31/1903  18:08:25.000000	2.689044E+0
12/31/1903  18:08:26.000000	2.691315E+0
12/31/1903  18:08:27.000000	2.727642E+0
12/31/1903  18:08:28.000000	2.713370E+0
12/31/1903  18:08:29.000000	2.707856E+0
12/31/1903  18:08:30.000000	2.744183E+0
12/31/1903  18:08:31.000000	2.786024E+0
12/31/1903  18:08:32.000000	2.759752E+0
12/31/1903  18:08:33.000000	2.737048E+0
12/31/1903  18:08:34.000000	2.779213E+0
12/31/1903  18:08:35.000000	2.800944E+0
12/31/1903  18:08:36.000000	2.791538E+0
12/31/1903  18:08:37.000000	2.755535E+0
12/31/1903  18:08:38.000000	2.663421E+0
12/31/1903  18:08:39.000000	2.593362E+0
12/31/1903  18:08:40.000000	2.553143E+0
12/31/1903  18:08:41.000000	2.662124E+0
12/31/1903  18:08:42.000000	2.686450E+0
12/31/1903  18:08:43.000000	2.691639E+0
12/31/1903  18:08:44.000000	2.761049E+0
12/31/1903  18:08:45.000000	2.712722E+0
12/31/1903  18:08:46.000000	2.703316E+0
12/31/1903  18:08:47.000000	2.758779E+0
12/31/1903  18:08:48.000000	2.717911E+0
12/31/1903  18:08:49.000000	2.642338E+0
12/31/1903  18:08:50.000000	2.636824E+0
12/31/1903  18:08:51.000000	2.644609E+0
12/31/1903  18:08:52.000000	2.641365E+0
12/31/1903  18:08:53.000000	2.690342E+0
12/31/1903  18:08:54.000000	2.705586E+0
12/31/1903  18:08:55.000000	2.687423E+0
12/31/1903  18:08:56.000000	2.711749E+0
12/31/1903  18:08:57.000000	2.668610E+0
12/31/1903  18:08:58.000000	2.651744E+0
12/31/1903  18:08:59.000000	2.719533E+0
12/31/1903  18:09:00.000000	2.677368E+0
12/31/1903  18:09:01.000000	2.590767E+0
12/31/1903  18:09:02.000000	2.526222E+0
12/31/1903  18:09:03.000000	2.477895E+0
12/31/1903  18:09:04.000000	2.564819E+0
12/31/1903  18:09:05.000000	2.459082E+0
12/31/1903  18:09:06.000000	2.370536E+0
12/31/1903  18:09:07.000000	2.411403E+0
12/31/1903  18:09:08.000000	2.567414E+0
12/31/1903  18:09:09.000000	2.638446E+0
12/31/1903  18:09:10.000000	2.534980E+0
12/31/1903  18:09:11.000000	2.584605E+0
12/31/1903  18:09:12.000000	2.520384E+0
12/31/1903  18:09:13.000000	2.490220E+0
12/31/1903  18:09:14.000000	2.477895E+0
12/31/1903  18:09:15.000000	2.496707E+0
12/31/1903  18:09:16.000000	2.501896E+0
12/31/1903  18:09:17.000000	2.416269E+0
12/31/1903  18:09:18.000000	2.458109E+0
12/31/1903  18:09:19.000000	2.461677E+0
12/31/1903  18:09:20.000000	2.397457E+0
12/31/1903  18:09:21.000000	2.432486E+0
12/31/1903  18:09:22.000000	2.307937E+0
12/31/1903  18:09:23.000000	2.325776E+0
12/31/1903  18:09:24.000000	2.275178E+0
12/31/1903  18:09:25.000000	2.304693E+0
12/31/1903  18:09:26.000000	2.221336E+0
12/31/1903  18:09:27.000000	2.264474E+0
12/31/1903  18:09:28.000000	2.599525E+0
12/31/1903  18:09:29.000000	2.646555E+0
12/31/1903  18:09:30.000000	2.586875E+0
12/31/1903  18:09:31.000000	2.866138E+0
12/31/1903  18:09:32.000000	2.796728E+0
12/31/1903  18:09:33.000000	2.768509E+0
12/31/1903  18:09:34.000000	2.780186E+0
12/31/1903  18:09:35.000000	2.754562E+0
12/31/1903  18:09:36.000000	2.708505E+0
